DOCUMENT_ID,DATE,YRMO,YEAR,MONTH,DAY,NAME,CORRECTED_ID,AFFILIATION,MILT,CABT,PMNT,INFORMAL,TRAININGSET_SELECTION,TRAININGSET_VALUE,TRAININGSET_ISSUE
d19980212_kvashnin.txt,19980212,199802,1998,2,12,Kvashnin,,Military,1,0,0,0,0,NA,NA
d19980308_burkin.txt,19980308,199803,1998,3,8,Burkin,,Military,1,0,0,1,0,NA,NA
d19980325_oleynik.txt,19980325,199803,1998,3,25,Oleynik,,Military,1,0,0,1,0,NA,NA
d19980409_kvashnin.txt,19980409,199804,1998,4,9,Kvashnin,,Military,1,0,0,0,0,NA,NA
d19980427_baturin.txt,19980427,199804,1998,4,27,Baturin,,Military,1,0,0,1,0,NA,NA
d19980527_voytenko.txt,19980527,199805,1998,5,27,Voytenko,,Military,1,0,0,1,0,NA,NA
d19980712_sidyakin.txt,19980712,199807,1998,7,12,Sidyakin,,Military,1,0,0,1,0,NA,NA
d19980910_yakubov.txt,19980910,199809,1998,9,10,Yakubov,,Military,1,0,0,0,0,NA,NA
d19981108_ivanov.txt,19981108,199811,1998,11,8,Ivanov,,Military,1,1,0,0,0,NA,NA
d19981226_dremov.txt,19981226,199812,1998,12,26,Dremov,,Military,1,0,0,0,0,NA,NA
d19981226_khovalev.txt,19981226,199812,1998,12,26,Khovalev,,Military,1,0,0,1,0,NA,NA
d19990100_artamonov.txt,19990100,199901,1999,1,0,Artamonov,,Military,1,0,0,1,0,NA,NA
d19990100_barynkin.txt,19990100,199901,1999,1,0,Barynkin,,Military,1,0,0,1,0,NA,NA
d19990100_deev.txt,19990100,199901,1999,1,0,Deev,,Military,1,0,0,1,0,NA,NA
d19990100_karpov.txt,19990100,199901,1999,1,0,Karpov,,Military,1,0,0,0,0,NA,NA
d19990100_karpov2.txt,19990100,199901,1999,1,0,Karpov,,Military,1,0,0,0,0,NA,NA
d19990100_klepikov.txt,19990100,199901,1999,1,0,Klepikov,,Military,1,0,0,1,0,NA,NA
d19990100_korolev.txt,19990100,199901,1999,1,0,Korolev,,Military,1,0,0,1,0,NA,NA
d19990100_korotchenko.txt,19990100,199901,1999,1,0,Korotchenko,,Military,1,0,0,1,0,NA,NA
d19990100_korsun.txt,19990100,199901,1999,1,0,Korsun,,Military,1,0,0,1,0,NA,NA
d19990100_lovtsov.txt,19990100,199901,1999,1,0,Lovtsov,,Military,1,0,0,1,0,NA,NA
d19990100_moskovenko.txt,19990100,199901,1999,1,0,Moskovenko,,Military,1,0,0,1,0,NA,NA
d19990100_mudryachenko.txt,19990100,199901,1999,1,0,Mudryachenko,,Military,1,0,0,1,0,NA,NA
d19990100_petrovsky.txt,19990100,199901,1999,1,0,Petrovsky,,Military,1,0,0,1,0,NA,NA
d19990100_sinitsyn.txt,19990100,199901,1999,1,0,Sinitsyn,,Military,1,0,0,1,0,NA,NA
d19990100_sosyura.txt,19990100,199901,1999,1,0,Sosyura,,Military,1,0,0,1,0,NA,NA
d19990100_starostenkov.txt,19990100,199901,1999,1,0,Starostenkov,,Military,1,0,0,1,0,NA,NA
d19990100_tomashevsky.txt,19990100,199901,1999,1,0,Tomashevsky,,Military,1,0,0,1,0,NA,NA
d19990100_zherebtsov.txt,19990100,199901,1999,1,0,Zherebtsov,,Military,1,0,0,1,0,NA,NA
d19990100_zhuravlev.txt,19990100,199901,1999,1,0,Zhuravlev,,Military,1,0,0,1,0,NA,NA
d19990106_ryzhikov.txt,19990106,199901,1999,1,6,Ryzhikov,,Military,1,0,0,1,0,NA,NA
d19990115_batkovsky.txt,19990115,199901,1999,1,15,Batkovsky,,Military,1,0,0,1,0,NA,NA
d19990115_gareyev.txt,19990115,199901,1999,1,15,Gareyev,,Military,1,0,0,1,0,NA,NA
d19990123_grishin.txt,19990123,199901,1999,1,23,Grishin,,Military,1,0,0,1,0,NA,NA
d19990123_manilov.txt,19990123,199901,1999,1,23,Manilov,,Military,1,0,0,1,0,NA,NA
d19990127_burzhanetskiy.txt,19990127,199901,1999,1,27,Burzhanetskiy,,Military,1,0,0,1,0,NA,NA
d19990211_chayun.txt,19990211,199902,1999,2,11,Chayun,,Military,1,0,0,1,0,NA,NA
d19990216_matvienko.txt,19990216,199902,1999,2,16,Matvienko,,Military,1,0,0,1,0,NA,NA
d19990304_unknown.txt,19990304,199903,1999,3,4,Unknown,,Military,1,0,0,1,0,NA,NA
d19990316_petrov.txt,19990316,199903,1999,3,16,Petrov,,Military,1,0,1,1,0,NA,NA
d19990318_yakovlev.txt,19990318,199903,1999,3,18,Yakovlev,,Military,1,0,0,0,0,NA,NA
d19990413_berzan.txt,19990413,199904,1999,4,13,Berzan,,Military,1,0,0,1,0,NA,NA
d19990413_koronyushko.txt,19990413,199904,1999,4,13,Koronyushko,,Military,1,0,0,1,0,NA,NA
d19990500_andreyev.txt,19990500,199905,1999,5,0,Andreyev,,Military,1,0,0,1,0,NA,NA
d19990500_baluyevsky.txt,19990500,199905,1999,5,0,Baluyevsky,,Military,1,0,0,0,0,NA,NA
d19990500_barvinenko.txt,19990500,199905,1999,5,0,Barvinenko,,Military,1,0,0,1,0,NA,NA
d19990500_klimenko.txt,19990500,199905,1999,5,0,Klimenko,,Military,1,0,0,1,0,NA,NA
d19990500_kuroyedov.txt,19990500,199905,1999,5,0,Kuroyedov,,Military,1,0,0,0,1,1,1
d19990500_kuznetsov.txt,19990500,199905,1999,5,0,Kuznetsov,,Military,1,0,0,0,0,NA,NA
d19990500_levshin.txt,19990500,199905,1999,5,0,Levshin,,Military,1,0,0,1,0,NA,NA
d19990500_nochevkin.txt,19990500,199905,1999,5,0,Nochevkin,,Military,1,0,0,1,0,NA,NA
d19990500_pechurov.txt,19990500,199905,1999,5,0,Pechurov,,Military,1,0,0,1,0,NA,NA
d19990500_podsoblyayev.txt,19990500,199905,1999,5,0,Podsoblyayev,,Military,1,0,0,1,0,NA,NA
d19990500_radchuk.txt,19990500,199905,1999,5,0,Radchuk,,Military,1,0,0,1,0,NA,NA
d19990500_sapozhinskiy.txt,19990500,199905,1999,5,0,Sapozhinskiy,,Military,1,0,0,1,0,NA,NA
d19990500_skvortsov.txt,19990500,199905,1999,5,0,Skvortsov,,Military,1,0,0,1,0,NA,NA
d19990500_sukhorutchenko.txt,19990500,199905,1999,5,0,Sukhorutchenko,,Military,1,0,0,1,0,NA,NA
d19990500_tsymbal.txt,19990500,199905,1999,5,0,Tsymbal,,Military,1,0,0,1,0,NA,NA
d19990526_bychkov.txt,19990526,199905,1999,5,26,Bychkov,,Military,1,0,0,0,0,NA,NA
d19990609_strokov.txt,19990609,199906,1999,6,9,Strokov,,Military,1,0,0,1,1,1,0
d19990700_andreev.txt,19990700,199907,1999,7,0,Andreyev,,Military,1,0,0,1,0,NA,NA
d19990700_artamonov.txt,19990700,199907,1999,7,0,Artamonov,,Military,1,0,0,1,0,NA,NA
d19990700_bakhrushev.txt,19990700,199907,1999,7,0,Bakhrushev,,Military,1,0,0,1,0,NA,NA
d19990700_biryukov.txt,19990700,199907,1999,7,0,Biryukov,,Military,1,0,0,1,0,NA,NA
d19990700_guyvenko.txt,19990700,199907,1999,7,0,Guyvenko,,Military,1,0,0,1,0,NA,NA
d19990700_ivasik.txt,19990700,199907,1999,7,0,Ivasik,,Military,1,0,0,1,0,NA,NA
d19990700_krasnov.txt,19990700,199907,1999,7,0,Krasnov,,Military,1,0,0,1,0,NA,NA
d19990700_kreydin.txt,19990700,199907,1999,7,0,Kreydin,,Military,1,0,0,1,0,NA,NA
d19990700_lutovinov.txt,19990700,199907,1999,7,0,Lutovinov,,Military,1,0,0,1,0,NA,NA
d19990700_prikhozhiy.txt,19990700,199907,1999,7,0,Prikhozhiy,,Military,1,0,0,1,0,NA,NA
d19990700_radayev.txt,19990700,199907,1999,7,0,Radayev,,Military,1,0,0,1,0,NA,NA
d19990700_rodin.txt,19990700,199907,1999,7,0,Rodin,,Military,1,0,0,1,0,NA,NA
d19990814_masontsev.txt,19990814,199908,1999,8,14,Masontsev,,Military,1,0,0,1,0,NA,NA
d19990900_andreev.txt,19990900,199909,1999,9,0,Andreyev,,Military,1,0,0,1,0,NA,NA
d19990900_barsukov.txt,19990900,199909,1999,9,0,Barsukov,,Military,1,0,0,1,0,NA,NA
d19990900_barynkin.txt,19990900,199909,1999,9,0,Barynkin,,Military,1,0,0,1,0,NA,NA
