DOCUMENT_ID,TRAININGSET_SELECTION,TRAININGSET_VALUE,TRAININGSET_ISSUE
d19980212_kvashnin.txt,0,,
d19980308_burkin.txt,0,,
d19980325_oleynik.txt,0,,
d19980409_kvashnin.txt,0,,
d19980427_baturin.txt,0,,
d19980527_voytenko.txt,0,,
d19980712_sidyakin.txt,0,,
d19980910_yakubov.txt,0,,
d19981108_ivanov.txt,0,,
d19981226_dremov.txt,0,,
d19981226_khovalev.txt,0,,
d19990100_artamonov.txt,0,,
d19990100_barynkin.txt,0,,
d19990100_deev.txt,0,,
d19990100_karpov.txt,0,,
d19990100_karpov2.txt,0,,
d19990100_klepikov.txt,0,,
d19990100_korolev.txt,0,,
d19990100_korotchenko.txt,0,,
d19990100_korsun.txt,0,,
d19990100_lovtsov.txt,0,,
d19990100_moskovenko.txt,0,,
d19990100_mudryachenko.txt,0,,
d19990100_petrovsky.txt,0,,
d19990100_sinitsyn.txt,0,,
d19990100_sosyura.txt,0,,
d19990100_starostenkov.txt,0,,
d19990100_tomashevsky.txt,0,,
d19990100_zherebtsov.txt,0,,
d19990100_zhuravlev.txt,0,,
d19990106_ryzhikov.txt,0,,
d19990115_batkovsky.txt,0,,
d19990115_gareyev.txt,0,,
d19990123_grishin.txt,0,,
d19990123_manilov.txt,0,,
d19990127_burzhanetskiy.txt,0,,
d19990211_chayun.txt,0,,
d19990216_matvienko.txt,0,,
d19990304_unknown.txt,0,,
d19990316_petrov.txt,0,,
d19990318_yakovlev.txt,0,,
d19990413_berzan.txt,0,,
d19990413_koronyushko.txt,0,,
d19990500_andreyev.txt,0,,
d19990500_baluyevsky.txt,0,,
d19990500_barvinenko.txt,0,,
d19990500_klimenko.txt,0,,
d19990500_kuroyedov.txt,1,1,1
d19990500_kuznetsov.txt,0,,
d19990500_levshin.txt,0,,
d19990500_nochevkin.txt,0,,
d19990500_pechurov.txt,0,,
d19990500_podsoblyayev.txt,0,,
d19990500_radchuk.txt,0,,
d19990500_sapozhinskiy.txt,0,,
d19990500_skvortsov.txt,0,,
d19990500_sukhorutchenko.txt,0,,
d19990500_tsymbal.txt,0,,
d19990526_bychkov.txt,0,,
d19990609_strokov.txt,1,1,0
d19990700_andreev.txt,0,,
d19990700_artamonov.txt,0,,
d19990700_bakhrushev.txt,0,,
d19990700_biryukov.txt,0,,
d19990700_guyvenko.txt,0,,
d19990700_ivasik.txt,0,,
d19990700_krasnov.txt,0,,
d19990700_kreydin.txt,0,,
d19990700_lutovinov.txt,0,,
d19990700_prikhozhiy.txt,0,,
d19990700_radayev.txt,0,,
d19990700_rodin.txt,0,,
d19990814_masontsev.txt,0,,
d19990900_andreev.txt,0,,
d19990900_barsukov.txt,0,,
d19990900_barynkin.txt,0,,
d19990900_bavrinenko.txt,0,,
d19990900_gorelik.txt,0,,
d19990900_kolyadin.txt,0,,
d19990900_krasnov.txt,0,,
d19990900_krinitskiy.txt,0,,
d19990900_plashenkov.txt,0,,
d19990900_pozharov.txt,0,,
d19990900_rubinchik.txt,0,,
d19990900_sitnov.txt,0,,
d19990900_staskov.txt,0,,
d19990900_tkachev.txt,0,,
d19990900_yefimov.txt,0,,
d19990900_zakharov.txt,0,,
d19990900_zalogin.txt,0,,
d19990909_yakubov.txt,0,,
d19990910_avilov.txt,0,,
d19990920_zbdulatipov.txt,0,,
d19990922_zhirinovsky.txt,0,,
d19990929_zhirinovsky.txt,0,,
d19991006_zhirinovsky.txt,0,,
d19991022_zhukov.txt,0,,
d19991100_boboshko.txt,0,,
d19991100_dezhin.txt,0,,
d19991100_dubok.txt,0,,
d19991100_editorial.txt,0,,
d19991100_ivanov.txt,0,,
d19991100_karatuyev.txt,0,,
d19991100_khayev.txt,0,,
d19991100_kirillov.txt,0,,
d19991100_kozlov.txt,0,,
d19991100_kuroyedov.txt,1,1,0
d19991100_menshikov.txt,0,,
d19991100_radchuk.txt,0,,
d19991100_shramchenko.txt,0,,
d19991100_vorobyev.txt,0,,
d19991100_yasyukov.txt,0,,
d19991106_geniatulin.txt,0,,
d19991112_borodin.txt,0,,
d19991112_kulakov.txt,0,,
d19991118_artamonov.txt,0,,
d19991118_yakubov.txt,0,,
d19991120_averyanov.txt,0,,
d19991123_ivanov.txt,0,,
d19991123_zolotov.txt,1,0,0
d19991130_yakovlev.txt,0,,
d19991204_kuroyedov.txt,0,,
d19991208_zhirinovsky.txt,1,0,0
d19991210_karaganov.txt,0,,
d19991221_lapshin.txt,0,,
d19991231_putin.txt,0,,
d19991231_putin1.txt,0,,
d20000100_arzhayev.txt,0,,
d20000100_bobylov.txt,0,,
d20000100_gareyev.txt,0,,
d20000100_isakov.txt,0,,
d20000100_korabelnikov.txt,0,,
d20000100_kreydin.txt,0,,
d20000100_kulakov.txt,0,,
d20000100_mikhaylovsky.txt,0,,
d20000100_rakhmanov.txt,0,,
d20000100_sokolov.txt,0,,
d20000100_tsigichko.txt,0,,
d20000100_vorobyev.txt,0,,
d20000100_yevstafyev.txt,0,,
d20000101_arzhayev.txt,0,,
d20000101_bobylov.txt,0,,
d20000101_gareyev.txt,0,,
d20000101_isakov.txt,0,,
d20000101_korabelnikov.txt,0,,
d20000101_kreydin.txt,0,,
d20000101_kulakov.txt,0,,
d20000101_mikhaylovsky.txt,0,,
d20000101_rakhmanov.txt,0,,
d20000101_sokolov.txt,0,,
d20000101_tsygichko.txt,0,,
d20000101_vorobyev.txt,0,,
d20000101_yevstafyev.txt,0,,
d20000104_putin.txt,0,,
d20000105_putin.txt,0,,
d20000111_putin.txt,0,,
d20000112_putin.txt,0,,
d20000113_putin.txt,0,,
d20000113_putin1.txt,0,,
d20000115_putin.txt,0,,
d20000118_putin.txt,0,,
d20000118_putin1.txt,0,,
d20000121_putin.txt,0,,
d20000123_putin.txt,0,,
d20000124_putin.txt,0,,
d20000126_putin.txt,0,,
d20000126_putin1.txt,0,,
d20000128_putin.txt,0,,
d20000131_putin.txt,0,,
d20000131_putin1.txt,0,,
d20000201_putin.txt,0,,
d20000204_putin.txt,0,,
d20000207_putin.txt,0,,
d20000208_putin.txt,0,,
d20000209_putin.txt,0,,
d20000215_putin.txt,0,,
d20000216_putin.txt,0,,
d20000218_putin.txt,0,,
d20000218_putin1.txt,0,,
d20000218_putin2.txt,0,,
d20000218_putin3.txt,0,,
d20000219_kormiltsev.txt,0,,
d20000221_putin.txt,0,,
d20000222_putin.txt,0,,
d20000222_zyuganov.txt,0,,
d20000223_putin.txt,0,,
d20000223_putin1.txt,0,,
d20000224_putin.txt,1,99,99
d20000224_putin1.txt,0,,
d20000225_putin.txt,0,,
d20000225_putin1.txt,0,,
d20000227_putin.txt,0,,
d20000228_putin.txt,0,,
d20000301_azarov.txt,0,,
d20000301_burenok.txt,0,,
d20000301_chugunov.txt,0,,
d20000301_gareyev.txt,0,,
d20000301_ivanov.txt,0,,
d20000301_karpov.txt,0,,
d20000301_karpov1.txt,0,,
d20000301_kolesnikov.txt,0,,
d20000301_korabelnikov.txt,0,,
d20000301_ponomarenko.txt,0,,
d20000301_putin.txt,0,,
d20000301_sokolov.txt,0,,
d20000301_yevstafyev.txt,0,,
d20000301_zaritskiy.txt,0,,
d20000301_zaytsev.txt,0,,
d20000301_zelenkov.txt,0,,
d20000301_zyuganov.txt,0,,
d20000302_yazev.txt,0,,
d20000303_putin.txt,0,,
d20000303_putin1.txt,0,,
d20000303_putin2.txt,0,,
d20000303_putin3.txt,0,,
d20000305_putin.txt,0,,
d20000307_putin.txt,0,,
d20000307_putin1.txt,0,,
d20000307_putin2.txt,0,,
d20000308_kazantsev.txt,0,,
d20000310_putin.txt,0,,
d20000311_putin.txt,1,1,1
d20000313_putin.txt,0,,
d20000313_putin1.txt,0,,
d20000313_putin2.txt,0,,
d20000314_yusupov.txt,0,,
d20000315_putin.txt,0,,
d20000315_putin1.txt,0,,
d20000315_putin2.txt,0,,
d20000316_putin.txt,0,,
d20000316_putin1.txt,0,,
d20000317_putin.txt,0,,
d20000318_putin.txt,0,,
d20000318_putin1.txt,0,,
d20000318_putin2.txt,0,,
d20000320_putin.txt,0,,
d20000321_putin.txt,0,,
d20000321_putin1.txt,0,,
d20000321_putin2.txt,0,,
d20000322_putin.txt,0,,
d20000322_putin1.txt,0,,
d20000324_makarov.txt,0,,
d20000324_putin.txt,0,,
d20000324_putin1.txt,0,,
d20000326_putin.txt,0,,
d20000327_pavlovsky.txt,0,,
d20000327_prizemlin.txt,0,,
d20000327_putin.txt,0,,
d20000327_putin1.txt,0,,
d20000328_putin.txt,0,,
d20000331_putin.txt,0,,
d20000331_putin1.txt,0,,
d20000331_putin2.txt,0,,
d20000401_zyuganov.txt,0,,
d20000405_putin.txt,0,,
d20000408_azarov.txt,0,,
d20000411_putin.txt,0,,
d20000413_putin.txt,0,,
d20000414_putin.txt,0,,
d20000414_putin1.txt,0,,
d20000415_putin.txt,0,,
d20000417_putin.txt,0,,
d20000417_putin1.txt,0,,
d20000419_putin.txt,0,,
d20000420_ivanov.txt,0,,
d20000420_shvabauer.txt,0,,
d20000421_putin.txt,0,,
d20000421_putin1.txt,0,,
d20000426_putin.txt,0,,
d20000428_putin.txt,0,,
d20000501_andreyev.txt,0,,
